source,target,timestamp
N069,N126,1
N148,N185,1
N185,N148,1
N124,N165,1
N187,N138,1
N088,N075,1
N054,N079,1
N005,N048,1
N183,N003,1
N042,N008,1
N107,N060,1
N165,N088,1
N106,N071,1
N009,N040,1
N142,N075,1
N193,N061,1
N060,N106,1
N045,N100,1
N150,N133,1
N071,N110,1
N021,N129,1
N056,N097,1
N034,N180,1
N042,N018,1
N056,N132,1
N138,N026,1
N176,N173,1
N111,N071,1
N085,N199,1
N056,N037,1
N040,N034,1
N057,N200,1
N013,N196,1
N019,N056,1
N023,N163,1
N069,N161,1
N040,N034,1
N011,N093,1
N118,N123,1
N050,N009,1
N171,N090,1
N154,N027,1
N118,N181,1
N054,N014,1
N182,N181,1
N029,N060,1
N138,N085,1
N142,N072,1
N113,N114,1
N091,N188,1
N116,N049,1
N106,N103,1
N002,N187,1
N067,N064,1
N059,N092,1
N162,N020,1
N080,N014,1
N084,N040,1
N135,N122,1
N106,N163,1
N043,N179,1
N115,N169,1
N036,N038,1
N019,N172,2
N120,N051,2
N049,N135,2
N180,N105,2
N051,N083,2
N102,N004,2
N147,N027,2
N027,N153,2
N126,N145,2
N137,N095,2
N090,N163,2
N139,N021,2
N132,N103,2
N002,N144,2
N130,N170,2
N182,N020,2
N153,N140,2
N142,N160,2
N142,N070,2
N050,N181,2
N171,N060,2
N070,N068,2
N144,N106,2
N150,N179,2
N014,N136,2
N136,N014,2
N105,N085,2
N154,N125,2
N179,N076,2
N126,N042,2
N046,N150,2
N153,N030,2
N122,N200,2
N161,N051,2
N158,N014,2
N063,N184,2
N199,N173,2
N031,N154,2
N140,N071,2
N169,N045,2
N028,N166,2
N039,N165,2
N156,N096,2
N159,N040,2
N036,N143,2
N147,N009,2
N178,N056,2
N006,N093,2
N099,N052,2
N055,N070,2
N016,N145,2
N083,N119,2
N084,N073,2
N004,N093,2
N115,N043,2
N163,N074,2
N191,N148,3
N164,N126,3
N077,N001,3
N065,N078,3
N116,N022,3
N023,N129,3
N102,N176,3
N003,N183,3
N075,N142,3
N045,N125,3
N016,N117,3
N015,N163,3
N119,N195,3
N116,N060,3
N142,N146,3
N120,N138,3
N151,N028,3
N122,N052,3
N175,N169,3
N141,N095,3
N147,N058,3
N100,N045,3
N094,N012,3
N197,N129,3
N080,N156,3
N039,N122,3
N027,N182,3
N017,N142,3
N065,N113,3
N008,N019,3
N119,N052,3
N070,N187,3
N181,N084,3
N126,N151,3
N134,N181,3
N069,N163,3
N127,N129,3
N154,N011,3
N161,N085,3
N030,N153,3
N068,N061,3
N183,N140,3
N060,N147,3
N019,N074,3
N157,N110,3
N091,N145,3
N086,N082,3
N163,N132,3
N075,N177,3
N052,N194,3
N153,N136,3
N096,N086,3
N037,N018,3
N143,N045,3
N157,N071,3
N062,N163,3
N037,N180,3
N137,N001,3
N100,N037,3
N145,N016,3
N004,N055,3
N165,N101,4
N004,N173,4
N017,N086,4
N066,N175,4
N192,N082,4
N023,N190,4
N014,N171,4
N044,N173,4
N191,N087,4
N163,N081,4
N110,N073,4
N104,N183,4
N153,N185,4
N053,N187,4
N039,N106,4
N127,N003,4
N037,N056,4
N103,N008,4
N087,N160,4
N041,N010,4
N188,N148,4
N101,N164,4
N080,N172,4
N152,N131,4
N051,N114,4
N055,N030,4
N134,N033,4
N038,N184,4
N188,N198,4
N081,N104,4
N128,N066,4
N072,N142,4
N175,N180,4
N070,N139,4
N122,N023,4
N035,N107,4
N097,N078,4
N137,N016,4
N140,N189,4
N193,N031,4
N037,N188,4
N040,N159,4
N149,N003,4
N159,N188,4
N009,N147,4
N066,N052,4
N042,N159,4
N190,N071,4
N134,N161,4
N087,N170,4
N127,N188,5
N078,N171,5
N165,N101,5
N041,N126,5
N199,N154,5
N172,N049,5
N022,N116,5
N151,N162,5
N196,N085,5
N027,N004,5
N131,N172,5
N197,N192,5
N146,N192,5
N020,N182,5
N177,N152,5
N153,N066,5
N189,N157,5
N058,N017,5
N022,N191,5
N163,N110,5
N085,N127,5
N083,N102,5
N056,N095,5
N066,N001,5
N082,N087,5
N073,N154,5
N013,N033,5
N061,N034,5
N120,N153,5
N033,N146,5
N169,N154,5
N129,N178,5
N052,N034,5
N199,N112,5
N144,N022,5
N038,N010,5
N069,N156,5
N098,N020,5
N114,N090,5
N061,N149,5
N092,N022,5
N144,N112,5
N143,N036,5
N129,N118,5
N080,N051,5
N093,N152,6
N177,N051,6
N032,N078,6
N165,N154,6
N167,N118,6
N036,N084,6
N184,N176,6
N176,N184,6
N023,N044,6
N072,N179,6
N129,N023,6
N089,N113,6
N050,N122,6
N174,N139,6
N191,N023,6
N030,N024,6
N190,N062,6
N071,N016,6
N026,N189,6
N058,N146,6
N060,N108,6
N087,N080,6
N180,N181,6
N129,N097,6
N163,N132,6
N187,N053,6
N114,N046,6
N079,N154,6
N151,N150,6
N106,N172,6
N034,N040,6
N033,N187,6
N011,N171,6
N065,N112,6
N160,N087,6
N034,N119,6
N175,N150,6
N150,N175,6
N024,N180,6
N033,N138,6
N097,N104,6
N188,N174,6
N034,N176,6
N065,N083,6
N081,N108,6
N011,N174,6
N121,N049,6
N057,N094,6
N179,N010,6
N172,N014,6
N008,N024,6
N122,N011,6
N146,N153,6
N004,N033,6
N007,N172,6
N059,N018,6
N180,N131,7
N123,N090,7
N055,N036,7
N033,N162,7
N162,N033,7
N084,N146,7
N061,N071,7
N137,N095,7
N192,N182,7
N132,N123,7
N012,N098,7
N101,N179,7
N127,N104,7
N003,N114,7
N059,N143,7
N066,N076,7
N137,N159,7
N158,N036,7
N172,N185,7
N012,N081,7
N193,N022,7
N078,N176,7
N135,N147,7
N013,N099,7
N063,N158,7
N142,N006,7
N106,N006,7
N127,N118,7
N042,N085,7
N011,N120,7
N102,N192,7
N151,N126,7
N085,N111,7
N098,N027,7
N148,N054,7
N051,N061,7
N164,N185,7
N153,N079,7
N125,N077,7
N192,N004,7
N108,N164,7
N161,N181,7
N139,N137,7
N070,N179,7
N076,N049,7
N106,N036,7
N150,N062,7
N042,N071,7
N148,N075,7
N009,N182,7
N008,N191,7
N047,N170,7
N015,N179,7
N033,N004,7
N051,N140,7
N131,N110,7
N107,N054,7
N029,N141,8
N091,N083,8
N200,N050,8
N023,N009,8
N083,N176,8
N054,N142,8
N045,N062,8
N100,N165,8
N155,N183,8
N141,N163,8
N016,N102,8
N139,N195,8
N182,N192,8
N196,N076,8
N033,N172,8
N006,N124,8
N074,N178,8
N042,N007,8
N086,N138,8
N172,N147,8
N030,N002,8
N085,N168,8
N120,N013,8
N097,N132,8
N163,N199,8
N192,N040,8
N087,N105,8
N196,N103,8
N023,N118,8
N141,N023,8
N030,N197,8
N180,N034,8
N128,N184,8
